timestamp,target_yaw_angle,current_yaw_angle
17082050,30000,30000
17092050,30000,30000
17102050,30000,30000
17112050,30000,30000
17122050,30000,30000
17132050,30000,30000
17142050,30000,30000
17152050,30000,30001
17162050,30000,30000
17172050,30000,30000
17182050,30000,30001
17192050,30000,30000
17202050,30000,30000
17212050,30000,30000
17222050,30000,30000
17232050,30000,30000
17242050,30000,30000
17252050,30000,30000
17262050,30000,30000
17272050,30000,30000
17282050,30000,30000
17292050,30000,30000
17302050,30000,30001
17312050,30000,30000
17322050,30000,30000
17332050,30000,30000
17342050,30000,30000
17352050,30000,30000
17362050,30000,30000
17372050,30000,30000
17382050,30000,30001
17392050,30000,30000
17402050,30000,30000
17412050,30000,30000
17422050,30000,30000
17432050,30000,30000
17442050,30000,30000
17452050,30000,30000
17462050,30000,30000
17472050,30000,30000
17482050,30000,30000
17492050,30000,30000
17502050,30000,30000
17512050,30000,30000
17522050,30000,30000
17532050,30000,30000
17542050,30000,30000
17552050,30000,30000
17562050,30000,30000
17572050,30000,30000
17582050,30000,30000
17592050,30000,30000
17602050,30000,30000
17612050,30000,30000
17622050,30000,30000
17632050,30000,30000
17642050,30000,30000
17652050,30000,30000
17662050,30000,30001
17672050,30000,30000
17682050,30000,30001
17692050,30000,30000
17702050,30000,30000
17712050,30000,30000
17722050,30000,30000
17732050,30000,30000
17742050,30000,30000
17752050,30000,30000
17762050,30000,30000
17772050,30000,30001
17782050,30000,30000
17792050,30000,30000
17802050,30000,30000
17812050,30000,30000
17822050,30000,30000
17832050,30000,30000
17842050,30000,30000
17852050,30000,30000
